Name,Email Address,Code,Status
ALEXANDRE DE ARAÚJO PEREIRA,alexandre.pereira@exemplo.com,4211996360,enrolled
ALEXANDRE ARAGÃO PRIMO,alexandre.primo@exemplo.com,8499194366,enrolled
ALEXANDRE ARAGÃO PRIMU,alexandre.primu@exemplo.com,8499194377,enrolled
ALEXANDRE MENDES CAVALCANTI PINTO,alexandre.pinto@exemplo.com,1696011666,enrolled
ALEXANDRE MOURA LIMA,alexandre.lima@exemplo.com,8499192061,pending
ALEXANDRE PEDRO PESSÔA SOUZA,alexandre.souza@exemplo.com,3863878498,enrolled
ALEXANDRE PEREIRA,alexandre.pereira@exemplo.com,5950637009,enrolled
ALEXANDRE RIBEIRO OLIVEIRA,alexandre.ribeiro@exemplo.com,707502778,enrolled
ALEXANDRE SOARES BEZERRA GOMES,alexandre.soares@exemplo.com,2701270858,enrolled
ALEXANDRE VINHAS MARQUES SILVA,alexandre.silva@exemplo.com,3347316282,enrolled
ANA ALMEIDA ALBUQUERQUE DE LIMA,ana.lima@exemplo.com,3879187364,enrolled
ANA ALMEIDA ANDRADE LOPES,ana.lopes@exemplo.com,4564658188,enrolled
ANA AZEVEDO DE GONCALVES,ana.goncalves@exemplo.com,2719852501,enrolled
ANA BISPO ALEXANDRE,ana.alexandre@exemplo.com,3941413069,enrolled
ANA FERREIRA,ana.ferreira@exemplo.com,8881337823,enrolled
ANA LIMA,ana.lima@exemplo.com,6932533724,enrolled
ANA MACHADO DE MELLO RIBEIRO,ana.ribeiro@exemplo.com,5980792675,pending
ANDRE ALVES FERRAZ,andre.alves@exemplo.com,9274068671,enrolled
ANDRE COSTA VAN PINTO,andre.pinto@exemplo.com,1362106310,enrolled
ANDRE DURAN DE ALBUQUERQUE BRITO,andre.brito@exemplo.com,8062501897,enrolled
ANDRE FERREIRA SIQUEIRA CAMPOS LIMA,andre.ferreira@exemplo.com,8766755600,enrolled
ANDRE SOARES,andre.soares@exemplo.com,4215972769,pending
